Participant,Distance,Total,,
1,3,3,,
1,9,6,,
1,15,11,,
1,19,12,,
1,11,5,,
1,7,5,,
2,3,0,,
2,9,2,,
2,15,10,,
2,19,12,,
2,11,4,,
2,7,2,,
3,7,1,,
3,11,4,,
3,19,12,,
3,15,7,,
3,9,1,,
3,3,1,,
4,7,1,,
4,11,8,,
4,19,12,,
4,15,12,,
4,9,3,,
4,3,0,,
5,3,0,,
5,9,1,,
5,15,9,,
5,19,12,,
5,11,4,,
5,7,1,,
6,3,1,,
6,9,3,,
6,15,9,,
6,19,12,,
6,11,7,,
6,7,2,,
7,7,1,,
7,11,5,,
7,19,12,,
7,15,10,,
7,9,0,,
7,3,1,,
8,7,1,,
8,11,4,,
8,19,12,,
8,15,9,,
8,9,1,,
8,3,0,,
9,3,0,,
9,9,1,,
9,15,10,,
9,19,12,,
9,11,5,,
9,7,1,,
10,3,0,,
10,9,4,,
10,15,9,,
10,19,12,,
10,11,3,,
10,7,2,,
11,7,0,,
11,11,6,,
11,19,12,,
11,15,11,,
11,9,0,,
11,3,0,,
12,7,1,,
12,11,3,,
12,19,12,,
12,15,10,,
12,9,2,,
12,3,0,,
13,3,1,,
13,9,4,,
13,15,7,,
13,19,12,,
13,11,10,,
13,7,1,,
14,3,0,,
14,9,0,,
14,15,9,,
14,19,12,,
14,11,3,,
14,7,3,,
